job_id,sort_order,city,district
c48f0d1660b1cd0a,0,Hà Nội,Cầu Giấy
45a47805d21f6aa8,0,Hà Nội,Nam Từ Liêm
a8d8e49f3f72a227,0,Hồ Chí Minh,Quận 3
e03a566fc9d6abc1,0,Hà Nội,Thanh Xuân
db85b3aeba2a88a3,0,Hà Nội,Cầu Giấy
db85b3aeba2a88a3,1,Hà Nội,Thanh Xuân
9b5e533703d12299,0,Hồ Chí Minh,Bình Thạnh
53db7afcf39599e2,0,Hồ Chí Minh,Bình Thạnh
0c39ed4e22a5addb,0,Hà Nội,Đống Đa
075689fb131c731d,0,Hà Nội,Thanh Xuân
44a32285fb894ed0,0,Hồ Chí Minh,Quận 3
5c4eb01b891311e8,0,Hà Nội,Cầu Giấy
83457d561f55cf8b,0,Khánh Hoà,TP Nha Trang
dbf78f175fa7145b,0,Hồ Chí Minh,Quận 7
7298a182446f2c07,0,Hà Nội,Cầu Giấy
2bd8958302eb1c09,0,Hà Nội,Hoàng Mai
5e6f2794507542ad,0,Hà Nội,Hoàng Mai
492d8561f657caca,0,Hà Nội,Nam Từ Liêm
b1c04d8f841372f1,0,Hồ Chí Minh,Tân Bình
c404125c73457705,0,Hồ Chí Minh,Tân Bình
8777c75ac08d4815,0,Hà Nội,Thanh Xuân
81424d40f29a0fef,0,Hà Nội,Cầu Giấy
81424d40f29a0fef,1,Hồ Chí Minh,Quận 7
2aa676c3bb469daf,0,Hà Nội,Cầu Giấy
2aa676c3bb469daf,1,Hồ Chí Minh,Quận 7
189f8766250bdf06,0,Toàn Quốc,
51cf8888189372b5,0,Hà Nội,Nam Từ Liêm
83ebe939070f0328,0,Hà Nội,Ba Đình
a2a2ef946fcde893,0,Hà Nội,Bắc Từ Liêm
b8e036dea3e18303,0,Hà Nội,Bắc Từ Liêm
d35c6afbd3a8600b,0,Hà Nội,Bắc Từ Liêm
4c796fac0c1f2d3a,0,Hồ Chí Minh,
f521f48c4e682074,0,Hồ Chí Minh,Quận 1
1da00e560e680abf,0,Hà Nội,Hai Bà Trưng
fcf12d4671940095,0,Hồ Chí Minh,Quận 1
ddc2cab282d08c0a,0,Hà Nội,Nam Từ Liêm
0cda9ed0567417bd,0,Hà Nội,Cầu Giấy
129b1c1f9d155540,0,Hà Nội,Cầu Giấy
